term,era,snippet_id,text
sin,post1950,676e94617ecf,“Una isla sin nombre” ©Copyright Begoña Pérez Ruiz para NGC 3660
sin,post1950,b0b8a5974023,“Una isla sin nombre”
sin,post1950,a4d6d4ba7fba,"Su katana, su preciosa y maldita katana, que tanto deseaba en el presente que nunca hubiera sido suya. Y, sin embargo, no podía dejar de limpiarla a diario, aterrado ante la posibilidad de que la desagradable humedad de aquella isla la oxidara. No tenía papel de arroz, ni un aceite especial con el que cuidarla, pero la muchacha, que conocía aquella condenada selva mucho mejor que él, le había aconsejado que usará las anchas hojas de un determinado arbusto que crecía en la parte sur. Takeo ni se había molestado en aprender el nombre de aquella planta, no ansiaba saber cómo se llamaba nada de cuanto le rodeaba, esa no era su tierra, él no deseaba aprender a nombrarla como si lo fuera, no quería acostumbrarse a estar allí, quería volver a su pueblo natal. Aunque Takeo sí se molestaba en limpiar su espada a diario, pues sabía que a la muchacha le gustaba que lo hiciera y no quería enojarla. Él mismo, por mucho que despreciara lo que representaba aquella arma, tampoco podía evitar sentir hacia ella un extraño amor, más allá de su odio. Perderla o dejar que se oxidara suponía renunciar a sí mismo de alguna manera, cerrar las puertas hacia el retorno a su país."
sin,post1950,f877f2f7ec3f,"—El cielo se ha convertido en fuego —la voz de la muchacha rompió el silencio de la cueva donde Takeo vivía y le hizo sobresaltarse. Debería haberse acostumbrado ya a aquella manera suya de aparecer de la nada y hablarle sin antes molestarse en saludarle ni lo más mínimo, pero aún no lo había hecho."
sin,post1950,f27f4759f453,"La selva lo recibió con un silencio sepulcral que nada tenía de parecido con los sonidos de guerra que se dispersaban por ella hacía solo unos momentos. Las armas habían callado y más allá de ellas, todo lo había hecho. Ni un solo rumor animal, ni el más sencillo trino de los pájaros que habitualmente se escuchaban en aquella zona de manera constante. Y, por supuesto, ni un solo ruido que pudiera calificarse de humano. Takeo llegó a pensar que estaba muerto, que había sido abatido sin ni siquiera darse cuenta de ello. Solo una cosa así explicaba aquel mutismo antinatural, más propio del mundo onírico que de la realidad. Se dio cuenta de que él mismo permanecía inmóvil, como si el tiempo se hubiera detenido y el espacio le fuera ilusorio. Caminó un poco, para cerciorarse de que estaba vivo o quizá para demostrar que estaba muerto. Escuchó los latidos de su corazón mientras arrastraba los pies por la jungla. Y también oyó el roce de sus destrozado calzado entre la vegetación. Escuchar tan solo aquello, le resultó más aterrador que no escuchar nada, porque sabía que estaba vivo, pero de alguna forma parecía ser él lo único que lo estaba en kilómetros a la redonda. El sudor pegajoso seguía adherido a su piel, para avisarle que no había muerto y que aquella infernal isla aún era su único territorio. Una isla gaijin donde aquel día se sentía más ajeno y extranjero."
sin,post1950,649cd888df3c,"Ese día, Takeo se convirtió en el único habitante vivo de aquella isla, solo en aquel ambiente desolador, pero con la extraña suerte de tener a aquel Kitsune velando por él. Así encontró la cueva, un sitio donde resguardarse de la enfermiza humedad cálida de la jungla. También fue capaz de reconocer qué plantas podía comer sin peligro y, con la ayuda del Kitsune, le fue posible encontrar un manantial de agua potable. Sus días no fueron tan infernales"
sin,post1950,dbc36fdef552,CULTURA DE LA ESPERANZA Y SOCIEDAD SIN EXCLUSION
sin,post1950,e7a20588ec98,"Cultura de la esperanza y sociedad sin exclusión Franz J. Hinkelammert — la. ed. — San José, Costa Rica. DEI, 1995."
sin,post1950,218ce0b99c6a,¿Capitalismo sin alternativas?
sin,post1950,b187467c9761,"Sin embargo, se trata de la culminación de un proceso que se percibe ya a partir de la década de los setenta. Esta es la década de reestructuración del sistema capitalista mundial en la que se pro- duce un corte entre el capitalismo de reformas anterior, y un nuevo capitalismo extremo y desnudo que se implanta mundialmente en el curso del decenio de los ochenta en nombre de los "" ajustes estructurales"" y de la globalización y homo- geneización del mundo por la vía de los mercados. Hoy es común referirse a este capitalismo, sin mayor precisión, como neoliberalismo. Se trata de un capitalismo de tabula rasa que abandona toda perspectiva de evolución social en favor de sus políticas ""de choque"". Es un capitalismo que Milton Friedman, uno de los principales representantes de este nuevo capitalismo, llega a llamar ""capitalismo total""1."
sin,post1950,1073d1f046b0,"El sistema aplasta, no obstante ese aplastamiento produce reacciones. La victoria ha sido total, pero se hace sentir una realidad: que la victoria total lleva en sus entrañas la derrota. La victoria parece peor que una victoria de Pirro. Pirro, un rey de la antigüedad, dijo después de su victoria: otra victoria igual, y estoy perdido. Se cuidó de tener otra victoria igual, y siguió siendo rey. El capitalismo total, en cambio, ganó otra victoria igual, la segunda victoria de Pirro. Por ende está perdido. No está perdido a pesar de tener todo el poder. Está perdido precisamente porque ha logrado tener todo el poder. Es una sociedad sin rumbo que esconde su debilidad detrás del escudo de sus golpes de fuerza. La apariencia de una época vacía de cambios esconde el hecho de que se trata — como lo formula Xabier Gorostiaga — de un cambio de época."
sin,post1950,e153e45c9c2b,"la sociedad burguesa. En consecuencia pudo realizar el capitalismo de reformas, que le permitió inclusive hablar de la ""cara humana"" del capitalismo. Hoy no tiene esta capacidad. Por eso a nadie se le ocurre ya hablar de ninguna ""cara humana"" del capitalismo. La burguesía, justamente por ser omnipotente, ha perdido la ca- pacidad, y por tanto el poder, para enfrentar los problemas sociales, pero también del medio ambiente, de nuestro tiempo. Como nadie la puede cuestionar/nadie la puede obligar. Sin embargo, si nadie la obliga, la omnipotencia de la burguesía la hace impotente. Al no estar enfrentada a ningún cuestionamiento serio y con poder de negociación, la burguesía no puede producir sino el capitalismo salvaje de nuestro presente. No obstante, este capitalismo salvaje corta la rama del árbol sobre la cual todos estamos sentados. El capitalismo omnipotente se revela como una máquina auto- destructora, un monstruo que se devora a sí mismo. La mano invisible del automatismo omnipotente del mercado indica el camino hacia la muerte."
sin,post1950,bbb675a874a5,"El tercer artículo — ""La lógica de la exclusión del mercado capitalista mundial y el proyecto de liberación"" 5 — enfoca la formación de la ideología neoliberal como una ideología tautologizada, que permite justificar ciegamente la dinámica de los mercados sin considerar las consecuencias sobre el ser humano y la naturaleza."
sin,post1950,d964affc2df5,"A este sigue: ""¿Capitalismo sin alternativas? Sobre la sociedad que sostiene que no hay Alternativa para ella"" 6. La tesis del capitalismo actual, según la cual no hay alternativa para lo que está, revela justamente la emergencia de un nuevo totalitarismo. Si no hay alternativa no hay libertad, y el ser humano ya no tiene nada que elegir. Deja de ser un ente que se autodetermina. A esto corresponde la frase el ""fin de la historia""."
sin,post1950,cb787c9f4c9c,"4. Hinkelammert, Franz, ""Nuestro proyecto de nueva sociedad en América Latina. El papel regulador del Estado y los problemas de la auto-regulación del mercado"", en Pasos 33 (Enero-febrero, 1991); ""Las tareas futuras del Estado, frente al mercado y la sociedad civil, en el Istmo Centroamericano"", en Stein, Eduardo- Arias, Salvador (eds.): Democracia sin pobreza. Alternativa de desarrollo para el Istmo Centroamericano. San José, DEI, 1992."
sin,post1950,7d0551d04fb1,"6. Hinkelammert, Franz: ""¿Capitalismo sin Alternativas? Sobre la sociedad que sostiene que no hay alternativa para ella"" en Pasos No. 37 (Setiembre-octubre, 1991)."
sin,post1950,edc4dc78b9c5,"A este artículo sigue otro acerca de: ""La irracionalidad de lo racionalizado. Comentarios metodológicos sobre la racionalidad instrumental y su totalización"". Aquí se trata de formular los antecendentes metodológicos de las posiciones anteriores; de formular qué es lo racional en la vida social. Las racionalizaciones en nombre de la eficiencia que hoy pretenden ser la única racionalidad verdadera, tienen un efecto evidente de irracionalidad. De allí que se puede hablar sin miedo a equivocarse de la irracionalidad de la racionalizado. Para destacar esta irracionalidad, debe haber un concepto posible de racionalidad más allá de la racionalización en nombre de la eficiencia. El artículo busca formular estas condiciones de la racionalidad, que permitan enjuiciar la irracionalidad de la racionalizado."
sin,post1950,739493ce9b91,"Todos los artículos incluidos en este libro, excepto dos, han sido publicados antes, en su gran mayoría en la revista Pasos del DEI. He introducido sin embargo algunos cambios, inclusive en los títulos. No obstante estos cambios son mínimos. Por esta razón no los he marcado de modo especial, si bien en las notas corres- pondientes a este prólogo doy las referencias de estas publi- caciones. Muchos de estos artículos han sido publicados con posterioridad en otras revistas o ducumentos, pero no he creído necesario referirme a ello de forma explícita."
sin,post1950,5558a3af0746,"El conocido filósofo francés Glucksmann, quien recibió el premio de la paz de los libreros alemanes, en su laudatio para Havel habló de tres héroes de la lucha contra el totalitarismo en 1989: Solschenizyn, Rushdie y Havel. Ver: Friedenspreis des Deutschen Buchhandels 1989. Václav Havel. Ansprachen aus Anlafi der Verleihung. Frankfurt a. M., 1989, págs. 35s. Sólo que estos luchadores, a los que aprecio, están vivos. Los que luchan por la libertad en América Latina y el Tercer Mundo, en cambio, por donde se mire, son asesinados. Son muertos por las democracias occidentales. Democracias occidentales en El Salvador, Brasil, Colombia, Vene- zuela, Honduras, que cuentan con el apoyo indiscriminado de las democracias occidentales de Europa y EE. UU. La masacre de los jesuitas no es más que uno de los muchos casos. ¿No habrán sido ellos los verdaderos héroes de la lucha en contra del totalitarismo en 1989? Las democracias occidentales disparan a las vez que celebran sus premios de la paz, sin hablar siquiera de la guerra que ellas están llevando a cabo. Glucksmann decía: ""Fíjense bien: en el año 1989 se anuncia el fin de este siglo"", pág. 36. ¿No será más bien la masacre de San Salvador la que nos anuncia lo que viene?"
sin,post1950,26af5757f12a,"No existe necesariamente una relación causal entre ambos hechos — la caída del muro de Berlín y la masacre de los jesuítas de San Salvador — , aunque el timing llama mucho la atención. Pocos momentos históricos de los últimos años fueron tan propicios para la masacre que se realizó en San Salvador, como éste. No obstante, por más que la relación no sea causal, sin duda hay una relación simbólica innegable. Esta nos demuestra que un capitalismo que trató de aparecer desde los años cincuenta hasta los setenta como un capitalismo con rostro humano, ya no necesita hacerlo. Ahora de nuevo se puede presentar como un capitalismo sin rostro humano."
salvation,pre1950,052af3ee2bdc,"Redeem me then, 0 Lord, for Thou hast shewn unto me the undetermined and hidden things of Thy wisdom, that this very knowledge might aid me, and lead me unto salvation. These things, of a truth, the philosophers understood not. These things were to them undetermined. These things were wholly hidden unto them. None among men, except a few whom Thou didst love, had knowledge of these things, prior to the Incarnation of Thy Son."
salvation,pre1950,a2c8ad5cf5f2,"If, therefore, Thou hast shewn unto me the undetermined and hidden things of Thy wisdom and of Thy Scripture, why do I know them in vain ? For surely it is in vain that I know them if they do not lead me unto salvation. "" Because that, when in this wise they had known God ; they did not glorify Him as God, neither were thankful, but became vain in their imaginations. For professing themselves to be wise, they became fools."""
salvation,pre1950,3f7648d1ba9f,"0 merciful Lord, remember that Thou didst look upon Zacchaeus, as he climbed into the sycamore tree, and didst enter into his house, which Thou clearly wouldst never have done if Thou hadst beheld in him the image of the Devil. But because Thou sawest Thine image in him Thou hadst compassion on him, and bestowedst upon him salvation."
salvation,pre1950,3241ed874d4e,"He promised to restore fourfold his ill-gotten gains and to spend the half of his goods upon the poor, and he obtained mercy and salvation."
salvation,pre1950,1670fb8f84e2,"There is no salvation for me, except in Thee,"
salvation,pre1950,597b73883cb4,^'Restore unto me the joy of Thy salvation ; and establish me with Thy free Spirit/'
salvation,pre1950,1870f0f480d9,"All things are small which are transitory. All carnal things are small. The spiritual are great and precious. Take away the spirit, take away the soul from the body, what remaineth but excrement ? what but dust and a shadow P Therefore there is as wide a difference between the spirit and the body as between the body and its shadow. Who, therefore, asketh of Thee carnal things asketh small things. But whoso demandeth spiritual things, verily demandeth great things. But he who asketh the joy of Thy salvation asketh the greatest of all."
salvation,pre1950,c4adec356fa6,"For what is Thy salvation but Jesus, Thy Son ? This is the true God and eternal life."
salvation,pre1950,d6496fdaf3b8,"Why, then, may I not ask of Thee, 0 infinite and most bountiful Father, this salvation which Thou didst yield up for me upon the cross ? He is the greatest and infinite Gift, and I am not worthy of a Gift so great. Nevertheless it becometh Thee to give such great things. Hence, by reason of this ineffable tenderness, I dare to approach Thee trustingly and to ask the joy of Thy salvation."
salvation,pre1950,bdbb9605f564,"Behold ! Thy son returned from a far country, grieving and repentant, asketh of Thee a fish of faith ; (for, just as a fish lurketh beneath the waters, so is faith concerning those things which are not seen.) He asketh, I say, a true faith, that he may rejoice in Thy salvation. Wilt Thou offer unto him a serpent ? Wilt Thou give to him 50 SAYOKABOLA."
salvation,pre1950,013e18566bbb,"I ask of Thee, 0 Lord, an egg of hope. That just as a chicken is hoped for from the egg, so Thou mayest grant unto me to come out of hope unto the actual vision of Thy salvation ; that out of hope itself the vision may come forth, like as the chicken from the egg."
salvation,pre1950,91b06522d95b,"I ask an egg of hope, that my soul may be sustained by very hope in this vale of tears, and may rejoice in Thy salvation."
salvation,pre1950,773c606e9c47,"I ask also of Thee the bread of Christ's charity, by which He communicateth Himself to all as bread, that I may always rejoice in Thy salvation. Wilt Thou give me a stone, which is hardness of heart ? God forbid."
salvation,pre1950,3dba97e75e90,"some for me, than that Thou shouldest restore to me the joy of Thy salvation ?"
salvation,pre1950,b4de24f137c6,"T recall how great peace, how great tranquillity of soul I did enjoy, when I rejoiced in the Lord, and exulted in God my Jesus. Yea, now I grieve the more, because I know what I have lost. I know what very great benefits I have lost. Yea, I clamor importunately—Restore to me the joy of Thy salvation: restore what Thou hast taken away from me on account of my sins: restore what I have lost through my own fault: restore, I beseech Thee, through His merits. Who ever standeth at Thy right hand and maketh intercession for us. That through Him I may feel that Thou art reconciled to me; that the seal is set upon my heart; that I may say with the Apostle—I am nailed to the Cross with Christ: nevertheless I live; yet not I, but Christ liveth in me."
salvation,pre1950,3820d6aeaec7,"Therefore, 0 Lord, establish me in Thy free Spirit, that I may continue fast in the joy of Thy salvation. Otherwise I am unable to persevere against so many warfares. The flesh lusteth against the spirit. The world presseth me on every side. The devil sleepeth not. Give to me the power of Thy Spirit, that a thousand may fall beside me, and ten thousand at my right hand, that I may be a faithful and strong witness of thy faith."
salvation,pre1950,9b0fc35376e7,"Ascribe not this to rashness, 0 Lord, if I desire to teach Thy ways unto the wicked. For, not as iniquitous, infamous, and in bonds, do I desire to teach the wicked. But if Thou shouldest restore to me the joy of Thy salvation; if Thou shouldest establish me with Thy free Spirit; if Thou shouldest deliver me from my woes, then I shall teach Thy ways unto the wicked."
salvation,pre1950,f425503b83fd,"*^ Deliver me from bloodguiltiness, 0 God, Thou God of my salvation : and my tongu eshall sing of Thy righteousness r"
salvation,pre1950,284a16c462f5,"Deliver me from bloodguiltiness, 0 God, the Author of my salvation : 0 God in Whom alone is my health."
salvation,pre1950,5849dd8dd0c2,"A great thing is Thy praise, 0 Lord; and it proceedeth from the fountain, of which the sinner drinketh not. For praLse is not fair in the mouth of a sinner. Deliver me from bloodguiltiness, 0 God, Who art my God, and the God of my salvation: and my tongue shall sing of Thy righteousness. Then, 0 Lord, Thou wilt open my lips, and my mouth shall shew forth Thy praise."
salvation,pre1950,86eac53a0a70,"For Thou hast said by the prophet, I will have mercy and not sacrifice. Therefore my mouth shall shew forth Thy praise; for this oblation honoureth Thee, and layeth open to us the way of Thy salvation."
salvation,pre1950,f06a9c85a765,Uniyei^al Salvation
salvation,pre1950,0f6b0140d9e6,"There is a College in Kirksville, Mo., the President of which is a Disciple, one of the Professors is a Presbyterian, one a Methodist, one a Universalist— all ministers. Kindly they had often canvassed the points wherein they differed; and finally concluded to have an Oral Discussion in the Chapel of the College, on Universal Salvation and Endless Punishment, and secured the undersigned as the Disputants."
salvation,pre1950,5162bdb7f4a1,UNIVERSAL SALVATION. Proposition First. The Bible teaches that all
salvation,pre1950,1836f4f1479f,"We have assembled to consider subjects of vast importance to us—to all. We know that we now live, and we are taught by revelation that we shall live forever. Mr. Sweeney, my opponent on this occasion, and myself admit this. But we differ widely, entirely, concerning the condition of mankind on the other side of the River. He will affirm in this discussion, that part of our race will be doomed to suffer endless punishment, while I expect to affirm the final reconciliation and salvation of the world. The proposition we shall first consider, and to which we shall devote two days, I being in the affirmative, reads thus—"
salvation,post1950,c73da2b91e68,"The sacrament of reconciliation has fallen into disuse among Roman Catholics. For the Holy See this signifies a loss of a sense of sin and reconciliation, rightly connecting moral consciousness and faith in salvation with sacramental cel¬ ebration. Cultural studies underscore the importance of ritual practices as an essential element of religion’s ability to deal with the experience of moral evil. However, decline in the frequency of confession may also be complicated by indifference among North American Catholics to current roles and power rela¬ tions in the Church. In light of moral individualism in society and new ways of envisioning the Church fostered by Vatican II, the challenge of moral education in the Church is complex, but hopeful. Effective religious education, responsive to the situation of contemporary Catholics, will seek innovative approaches that are rooted in the tradition and developed in communities of living faith. The es¬ say suggests that theories of transformative learning and communities of prac¬ tice offer helpful models for responding to the crisis of sin and reconciliation in Roman Catholicism."
salvation,post1950,60d52fbff10a,"The Magisterium—the authoritative teaching function of the Roman Catholic Church—is an expression of pastoral wisdom that identifies is¬ sues that are of central importance to the Catholic faith. It sets challenges for Catholic learning and pastoral practice. The Magisterium does not replace the creativity and responsibility of local churches to find conceptual clarity regarding sin and reconciliation and to use this crisis as an opportunity to discern what belonging to a community of faith and discipleship require. In fact, John Paul II (1984) encouraged local churches to engage in open dia¬ logue about sin and morality as a means of “profound renewal of their own consciences and lives, in the light of the redemption and salvation accom¬ plished by Christ and entrusted to the ministry of his Church” (§25). That kind of dialogue is a true catechesis, whose methods reflect a practical un¬ derstanding of how adults come to know and, consequently, how to support moral learning. “Authentic dialogue... always [occurs] with profound respect for consciences and with patience and at a step-by-step pace indispensable for modem conditions” (§25). Effective religious learning will pay attention to the need to find effective ways to stimulate inquiry—a necessary condition, as Lonergan (1967) reminds us, for understanding faith-based knowledge and for taking responsibility for what we know."
salvation,post1950,fb0fe09fba9a,"Religious teaching and learning do not exist in the abstract. Even particular teachings, aimed at correcting specific misunderstandings and practices, are only understood in a context of the life experience of the people who receive them. Religious and moral knowledge is purposeful, emanating in actions that embody faith, responses appropriate to the Gospel, goals to be attained, and hopes to be sustained that open the knower to the grace of salvation."
salvation,post1950,5064d3457a30,"John Paul II identified a legitimate concern. A shared moral sense is es¬ sential to any religion that wants to have an impact on the world. This is more urgent when the Church sees itself as a sacrament and instrument of the salvation of the world (Vatican Council II, 1965). While the crisis of sin and reconciliation is real, it is considerably more complex than a crisis of understanding and practice. The situation of the Church today reflects a cri¬ sis of moral authority and a resistance to power relationships implicit in the ritual of confession. Religious educators are charged with developing and implementing programs that respond to the Church’s need to regain its moral consciousness and sacramental efficacy. Their task is to be attentive to the Church’s authoritative teachings, while finding ways to discover and respond to the moral crisis as experienced by the laity. It requires sensitivity, wisdom, and vision that draw on the insights from the human sciences, while remain¬ ing faithful to Scripture and the living tradition of the Catholic Church."
salvation,post1950,c7ff71358c09,"The so-called crisis of sin and reconciliation may, at a deeper level, be a sign of a silent, but seismic shift in how Catholics view power and react to con¬ trol in the Church. Following Douglas (1982), Favazza (1998) suggests that rituals are most effective where there is strong group identity and tight social control. Traditionally, Catholics have viewed the sacraments as the means of salvation. Confession, in particular, supported the social power of the cler¬ gy in the Church. The confession of sin as the transgression of “firmly es¬ tablished ideological and behavioral norms...reestablished the boundaries of identity [and] the control of the hierarchical system” (p. 213). Absolution and access to the Eucharist depended on the judgment of the priest. From this perspective, it is no wonder that Catholics flocked to confession, but also that rituals could be seen as “strategies of control” (p. 231)."
salvation,post1950,46ea7fb6d4ff,"Drawing on the insights of anthropologist Bell (1992), Favazza (1998) adds that rituals may also be viewed as actions empowering the “ritual special¬ ists” (p. 217), placing them clearly in control of the means of salvation. When controllers of ritual attribute their authority over the rites to divine ordination, they risk placing their ecclesiastical role out of the reach of the faithful."
salvation,post1950,4fae0594e0a4,"Achieving the Council’s vision of the Church depends on Catholics em¬ barking on a passage driven by a free and personal commitment, won in the struggle to come to terms with their faith in a pluralistic milieu. Articulating what this faith means for Christian moral practice requires creativity in theo¬ logical understanding. Diversity becomes inevitable. The Church becomes plural, many churches, a community of communities—local, specific, and contingent. Their status as churches depends less on the ecclesiastical institu¬ tion and its authority and more on their ability to constitute themselves again and again through faith and practice, historically discerned and realized as grace. These local churches accept as their own the responsibility and author¬ ity to be a tangible sign of the world’s salvation. It is the guarantee—concrete and accessible in the world—of the victory of Jesus, the ultimate meaning and the absolute future of the world (Rahner, 1981a)."
salvation,post1950,82f4a02c78f8,"This notion of the Church as sign of this eschatological salvation is a pivotal concept that brings together the challenge of decentralizing authority in the institutional Church (and the urgency with which the laity must take responsibility for this to occur) and the critical issue of moral knowledge. To articulate a meaningful sense of sin and hope in the world, there is need for local, accessible communities to interpret and engage the Church’s soli¬ darity with the “joy and hope, the grief and anguish of the [people] of our time” (Vatican Council II, 1965, §1). A crisis of sin and reconciliation in the Church is, from this perspective, a symptom of the unforeseen difficulty of moving away from a natural law view of the Church and its authority to one of engagement with history and society. It is not simply the doctrinal under¬ standing of sin that eludes the grasp of many Catholics; it is the interpretive horizon itself that leaves them baffled."
salvation,post1950,c9bff5d58e72,"Moral knowledge is most adequately understood as historical knowledge. This is how the meaning of sin and salvation is disclosed in the biblical narra¬ tives, where virtue and vice, fidelity and sin, alienation and reconciliation are discovered in the confusion, hardship, and tragedy of human experience. In Scripture, moral knowledge is construed not as a doctrine, but as a faith-filled response to the unpredictable unfolding of events in “the drama of salvation” (Schwager, 1999, p. 146). Moral knowledge is not “pure knowledge detached from any particular kind of being” (Gadamer, 2004, p. 314) because through it, we come to know ourselves as moral agents and recognize individual and collective human responsibility. The purpose of moral knowledge is, thus, “to govern [human] action;” it is “concerned with what is not always the same but can also be different” (p. 314)."
salvation,post1950,23f68dfc56d8,"Religious educators, pastoral ministers, and leaders in Catholic education face a formidable task. It cannot be met all at once, but must be responded to incrementally. There are two critical issues to attend to: The first is the need of the Church to build communities of faith, where moral consciousness and commitment can develop and make good the Church’s potential to be the sac¬ rament of salvation of the world (Vatican Council II, 1965). A renewed sense of sin and of the symbols of reconciliation are integral to that task. Second, the willingness of the Catholic faithful to engage in learning that is essential to such a transformation must be adequately weighed. This kind of learning implies the transformation of people and of communities. While it represents a vital need of the universal Church, the institution cannot drive the process or dictate the agenda. In this regard, religious education must take seriously the potential of knowledge-based communities as models for moral learning."
salvation,post1950,49af02314169,"Sharing stories and concerns leads to a sense of reality, supplies a foun¬ dation on which to respond, and contributes toward placing experience at the core of learning and making participants responsible for advancing the critical process. They thus come to recognize and confess their own knowl¬ edge of sin, experienced as attitudes, behaviors, dispositions, and actions at variance with Catholic beliefs. At the same time, they come to recognize and understand the values and virtues necessary for the Church to be a sign of salvation in the world. When the learners come to know what repentance and reconciliation entail, they are in a position to rediscover the ritual expressions that can activate the symbols of faith and their transformative power. The theory of transformative learning yields insights into how this process can be facilitated and supported by religious educators."
salvation,post1950,6f0bcc78bc33,"Schwager, R. (1999). Jesus in the drama of salvation: Toward a biblical doctrine of redemption (J. G. Williams & P. Haddon, Trans.). New York: Crossroad."
salvation,post1950,cc09ec110263,"TERMINATOR SALVATION (PG13) 12:40,3:25,6:15,9:20"
salvation,post1950,a4d8d4467f6a,"TERMINATOR SALVATION (PG13) 7:40,10:30"
salvation,post1950,6312c2106413,"TERMINATOR SALVATION (PG13) □ Ml 2:00,4:40,7:30,"
salvation,post1950,f85bf9e98369,"TERMINATOR SALVATION (PG13) 1:30,4:10,6:50,9:35 ANGELS & DEMONS (PG13) 1:00,4:00,7:10,10:20 STAR TREK (PG13) 1:35,4:35,7:40,10:30"
salvation,post1950,05d4b9255423,"NIGHT AT THE MUSEUM: BATTLE OF THE SMITHSONIAN (PG) 12:35,3:10,5:45,8:15,10:50 TERMINATOR SALVATION (PG13) 1:10,4:05,7:10,9:50 TERMINATOR SALVATION (PG13) ED Ml 10:45 PM ANGELS & DEMONS (PG13) 1:25,4:30,7:45,10:55 STAR TREK (PG13) 1:05,4:25,7:25,10:25"
